Magic_Number,Symbol,Signal,Entry_Price,Stop_Loss,Take_Profit,Volume,Confidence,Risk_Reward,Expiry,Comment
123450,USDJPY,BUY,150.10361,149.8168,150.62444,0.09,0.76,1.82,2025-09-29 22:31:51,GenX_BUY_USDJPY
123451,USDCHF,BUY,0.88098,0.876,0.88695,0.01,0.79,1.2,2025-09-29 22:00:51,GenX_BUY_USDCHF
123452,XAUCHF,BUY,2329.17421,2329.16976,2329.18155,0.02,0.85,1.65,2025-09-29 22:33:51,GenX_BUY_XAUCHF
123453,USDJPY,SELL,148.93063,149.34313,148.20452,0.07,0.84,1.76,2025-09-29 22:39:51,GenX_SELL_USDJPY
123454,USDCHF,SELL,0.88018,0.8841,0.87132,0.04,0.86,2.26,2025-09-29 22:56:51,GenX_SELL_USDCHF
123455,USDCAD,BUY,1.36641,1.3636,1.37381,0.06,0.77,2.63,2025-09-29 22:19:51,GenX_BUY_USDCAD
123456,USDJPY,BUY,148.83231,148.48792,149.68426,0.09,0.94,2.47,2025-09-29 22:01:51,GenX_BUY_USDJPY
123457,XAUAUD,SELL,4040.64437,4040.64864,4040.63628,0.07,0.83,1.89,2025-09-29 22:30:51,GenX_SELL_XAUAUD
123458,NZDUSD,BUY,0.58793,0.58488,0.59485,0.04,0.91,2.27,2025-09-29 22:37:51,GenX_BUY_NZDUSD
123459,USDJPY,SELL,148.95246,149.32537,148.47825,0.06,0.87,1.27,2025-09-29 22:06:51,GenX_SELL_USDJPY
123460,XAUUSD,BUY,2659.183,2659.17822,2659.19248,0.07,0.93,1.98,2025-09-29 22:48:51,GenX_BUY_XAUUSD
123461,USDCAD,SELL,1.36493,1.36718,1.3575,0.05,0.89,3.3,2025-09-29 22:21:51,GenX_SELL_USDCAD
123462,XAUCAD,SELL,3633.91867,3633.9222,3633.90959,0.05,0.91,2.58,2025-09-29 22:51:51,GenX_SELL_XAUCAD
123463,XAUCAD,SELL,3636.96432,3636.96717,3636.96018,0.03,0.86,1.45,2025-09-29 22:12:51,GenX_SELL_XAUCAD
123464,XAUUSD,BUY,2663.17447,2663.17244,2663.17939,0.09,0.9,2.42,2025-09-29 22:14:51,GenX_BUY_XAUUSD
